tier,intent,hinglish_original,taen_candidate_1,taen_candidate_2,REVIEWER_FINAL,REVIEWER_NOTE
messy,st_continuation,aur options btao,anna options solunga,inna options theriyuma,innum options irukka nu kaatu,c2 theriyuma is wrong means do you know original is tell or show
messy,pay_transfer,amir ko 2000 trf krdo abhi,amir ku 2000 trf pannu abhi,amir idhuku 2000 trf panrean da abhi,amir ku 2000 anuppu da ipo,c1 is closest c2 idhuku and panrean adds wrong meaning
messy,acc_mini_statement,haal ki activity dikhao account ki,naala account activity dikhao,account la naala transaction dikhao,account la recent activity kaatu,both mix tenses genz uses recent english word with tamil
messy,dc_block_card,debit card block karo turant,debit card block pannu turant,debit card block seiya,en debit card udane block pannu da,c1 keeps turant genz says udane for urgency
messy,acc_mini_statement,last few transactions btao,last few transactions ketka solu,recent transactions epdi iruku,last few transactions kaatu da,c1 ketka solu is ok c2 epdi iruku is wrong means how is it
messy,cc_unblock_card,cc enable karo dobara,cc enable pannu pa dude,cc enable panitu da repeat,cc thirumba enable pannu da,c2 panitu and repeat is extra thirumba is the clean word
messy,dc_reset_pin,atm pin change chahiye naya,atm pin change pannanum new,atm pin new set pannanum,atm pin puthusa maathi vidu,puthusa maathi vidu is how we say change to new one
messy,upi_send,gopi ko upi se 800 bhejo,gopi ku upi la 800 pannu,gopi idhuku upi tharava 800 anuppu,gopi ku upi la 800 anuppu da,c1 is close c2 idhuku tharava is unnecessary and confusing
messy,cc_view_statement,credit card ka bill kitna aaya,credit card bill eththana varuthu,credit card bill enna amount varuthu,credit card bill evlo varuthu bro?,c2 is close evlo is more natural than enna amount
messy,cc_unblock_card,card reactivate krna h credit wala,card reactivate pannanum credit ku,credit card reactivate panra h nu sonna,en credit card ah reactivate pannanum da,c1 is cleaner c2 adds nu sonna they said which is not in original
messy,loan_emi_details,emi ka amount btao next wala,emi amount enna next ah,next emi amount theriyuma,next emi evlo varum sollu,c1 is close c2 theriyuma is asking do you know not telling
messy,cc_pay_bill,cc ka bill de do mera,cc bill podunga mere,mere cc bill de do,en cc bill pay pannu da,both use wrong verbs pay pannu is most natural
messy,cc_block_card,credit card band karo turant,credit card block pannu turant,credit card adicha shutdown pannu,credit card udane block pannu da,c1 is correct c2 adicha shutdown is funny but means hit and shutdown
messy,cc_pay_bill,mera cc ka dues pay krdo,enna cc dues pay panniten,my cc dues pay panrom,en cc dues pay pannu da,both used wrong tense genz uses command form pannu
messy,loan_foreclosure,foreclosure krwani h loan ki,foreclosure pannanum loan ah,loan foreclosure panitom,loan foreclosure pannanum da,c1 correct tense c2 panitom means we did it wrong
messy,cc_block_card,jldi se cc block kro plzz,jaldi cc block pannu pls,urjent ah cc block panre plz,seekiram cc block pannu da pls,seekiram is natural tamil for jaldi c2 urjent is funny spelling
messy,acc_close_account,account band karo mera,account block pannuunga pa,account lock panrein pa,en account ah close pannu pa,both use block or lock but band means close so close pannu
messy,cc_explore,credit card services kya kya hain,credit card services enna enna,credit card services yaan yaan iruku,credit card la enna enna services irukku?,c1 is natural c2 yaan yaan is trying too hard and sounds fake
messy,cc_limit_increase,credit card ki limit kam pad rhi h badhao,credit card limit kamaa irukku badhava solra,credit card limit kammi irukku enna increase pannuvinga,en credit card limit romba kammi ah irukku increase pannu,c2 is close but too formal genz just demands directly
messy,acc_explore,mere account ke baare mein btao,enna my account nu solre,my account details solungada,en account pathi details sollu da,c2 solungada is perfect genz energy
messy,loan_outstanding,mere loan me kitna baki h,enna loan la balance edhu,en loan ah baki ya edhu,en loan la evlo balance irukku?,c2 baki ya edhu is natural spoken tamil
messy,dc_replace_card,debit card ki replacement chahiye,debit card replacement venum,debit card replace pannanum,en debit card ku replacement venum da,c1 is correct ku adds proper grammar
messy,cc_limit_increase,credit card pe aur limit chahiye,credit card la limit increase pannanum,en credit card ku aur limit venum,en credit card ku innum limit venum da,c2 is good innum is more tamil than aur
adversarial,dc_explore,mera paisa nikalne wala card btao,enna cash eduthukku use panra card,en card la irukku balance withdraw pannalam,paisa edukara card pathi sollu da,original is vague genz calls it paisa edukara card money taking card
adversarial,dc_block_card,atm card gayab h rok do,atm card oda pochi rok do,atm card adichcha block pannu,atm card kaana pochu da block pannu,c2 adichcha is legendary slang but kaana pochu is clearer
adversarial,loan_emi_details,next payment kitna aayega,next payment eththa varum,next payment edhuvum aayum,next payment evlo varum bro?,c1 is correct c2 edhuvum aayum means anything will happen wrong
adversarial,pay_transfer,amount move karo dusre account me,amount move pannu dusre account la,dusre account ku amount move panre,vera account ku amount transfer pannu da,vera account is more natural than dusre transfer better than move
adversarial,loan_emi_details,loan ka bojh kitna h mahine ka,loan amount enna mahine ka,loan bojh enna mahina ku,maasam evlo emi kattanum bro?,both lose bojh burden vibe but genz asks directly about EMI
adversarial,dc_replace_card,debit card expire ho gya ab kya,debit card expire aachula enna panren,debit card expire aagiduchu naa enna pannanum,debit card expire aagiduchu enna pananum bro?,c2 is close just drop naa and add bro
adversarial,cc_limit_increase,cc limit itni kam kyun h badhao,cc limit romba kam ya kyun iruku increase pannunga,cc limit enna romba kam nu iruku adhikam pannunga,cc limit yen romba kammi ah irukku increase pannu da,both are wordy genz asks yen why then demands
adversarial,cc_pay_bill,credit card ka hisab clear karo,credit card hisab clear pannu,credit card balance clear panre,credit card bill settle pannu da,hisab clear is hinglish genz says bill settle pannu
adversarial,cc_explore,credit card ka sab kuch dikhao,credit card details pathi sollu,credit card va full info dhan theriyuda,credit card full details kaatu da,c2 theriyuda changes meaning to you know original is show me
adversarial,cc_unblock_card,dobara activate karo credit card,dobra credit card activate pannu,credit card dobra active pannu,credit card thirumba activate pannu da,thirumba is proper tamil dobara or dobra is hinglish
adversarial,loan_explore,loan related kya kya hai,loan related nu sollunga,loan vera yaarunu solriya,loan la enna enna options irukku bro?,c2 is completely wrong vera yaarunu means who else c1 is closer but genz asks for options
adversarial,cc_explore,mere credit card ki info de do poori,enna credit card details full ah solrunga,en credit card info full ah pannunga,en credit card full details sollu da,both ok genz drops poori for full english word
adversarial,acc_close_account,sab khatam karo mera,sab mudichu da mera,ellam cancel pannu da mera,en account ah close pannu da ellam mudiyattum,sab khatam vibe is dramatic genz says ellam mudiyattum let it all end
adversarial,pay_transfer,kisi ko paise dene h,yaru ponnunu kodukka irukku,yen naalu panam kodukka irukku,yaarukku paisa anuppanum nu sollu,text is garbled genz asks yaarukku to whom directly
adversarial,cc_explore,cc related help chahiye,cc related help venum,cc la related help needed,cc pathi help venum da,c1 is natural c2 needed english word doesnt blend
adversarial,loan_foreclosure,poora karza nipta do aaj hi,poora loan setha pannitu da aaj itself,karza poora adjust pannu da aajye,full loan amount settle pannu da ipo,settle is the banking word genz uses karza is too formal
adversarial,loan_outstanding,loan kab khatam hoga kitna bcha,loan eppa mudiuma kitna balance iruku,loan eppdi mucchula kitna emi bakiya,loan eppa mudiyum innum evlo kattanum?,c1 is close genz asks two clear questions
adversarial,dc_block_card,mera wala card band karo jo paise nikalte h,enna card ah block pannu atm la money edutha,enna card block panre cash withdraw pannura,en ATM card ah block pannu da,genz calls it ATM card naturally no need to describe jo paise nikalte h
adversarial,loan_emi_details,kist kitni h meri,kist ethavachhu meri,meri kist eduthu kitna,en EMI evlo varum sollu,kist is old word genz says EMI c2 eduthu kitna is natural
adversarial,cc_limit_increase,credit card chhota pad rha h,credit card chota paduthu,credit card small ah iruku,credit card limit pothala da increase pannu,chhota pad rha means limit is insufficient genz says pothala not enough
adversarial,upi_send,scan karke paisa de do 200,scan panni 200 pesu kodu,scan pannu 200 de do,scan panni 200 anuppu da,both fine anuppu is natural tamil
adversarial,acc_mini_statement,paiso ka lena dena dikhao,paisa lena dena dikhungo,enakku paisa transaction details dikhao,recent transactions kaatu da,lena dena means transactions genz just says recent transactions
adversarial,cc_block_card,card gayab ho gaya mera credit wala,card adichiduchu yaar en credit card,en credit card kaetu pochu block panren,en credit card kaana pochu da block pannu,c1 adichiduchu is ICONIC slang c2 kaetu pochu also good
adversarial,loan_foreclosure,sab ek saath de deta hu khatam karo,sab ek saath de ditten khatam pannu,ellam romba dhan de ditten khatam cheyyi,mothama pay pannanum da loan close pannu,mothama means lump sum ek saath vibe perfectly captured
adversarial,dc_reset_pin,4 digit wala code bhool gya card ka,4 digit code maari card ah paththi forget pannitten,naan card ah 4 digit wala code forget panniten,en card PIN marandhuten da reset pannanum,genz says PIN not 4 digit code marandhuten is natural
adversarial,cc_unblock_card,mera cc kaam nahi kr rha chalu karo,enna cc work ah illa da chaluchu pannu,my cc work ah illa nu chaluchutinga da,en cc velai seyala da activate pannu,velai seyala means not working c2 chaluchutinga means you started which is WRONG
adversarial,acc_explore,account ka sab kuch btao,account details full ah paapom,account la full info thaa,en account full details sollu da,c2 thaa is good genz prefers sollu over thaa
adversarial,cc_block_card,mera plastic card rok do credit wala,enna plastic card block pannu credit nu,plastic card block pannu credit limit nu,en credit card ah block pannu da,c2 added limit out of nowhere plastic card just means credit card
adversarial,loan_outstanding,bank ko kitna dena h abhi,bank ku ethna kattanum pola,bank ku enna dennum pola,bank ku evlo kattanum irukku?,c1 is closer kattanum is correct c2 dennum is less natural
adversarial,loan_explore,loan ka scene kya h mera,loan nu scene enna da mera,loan pathi enna nu scene da,en loan enna status la irukku bro?,both FAILED scene means situation or status genz asks enna status directly
