"tier","intent","hinglish_original","taen_candidate_1","taen_candidate_2","REVIEWER_FINAL","REVIEWER_NOTE"
"adversarial","loan_explore","loan related kya kya hai","loan related nu sollunga","loan vera yaarunu solriya","loan related enna enna iruku",""
"adversarial","cc_explore","mere credit card ki info de do poori","enna credit card details full ah solrunga","en credit card info full ah pannunga","credit card full details sollu",""
"adversarial","acc_close_account","sab khatam karo mera","sab mudichu da mera","ellam cancel pannu da mera","ellam close pannu da mera",""
"adversarial","pay_transfer","kisi ko paise dene h","yaruку ponnunu கொடுக்க இருக்கே","yenனாலு பணம் கொடுக்க இருக்கே","yaruku panam kodukkanum",""
"adversarial","cc_explore","cc related help chahiye","cc related help venum","cc la related help needed","cc related help venum",""
"adversarial","loan_foreclosure","poora karza nipta do aaj hi","poora loan setha pannitu da aaj itself","karza poora adjust pannu da aajye","poora loan aaj settle pannu da",""
"adversarial","loan_outstanding","loan kab khatam hoga kitna bcha","loan eppa mudiuma kitna balance iruku","loan eppdi mucchula kitna emi bakiya","loan eppa mudiuma, kitna balance iruku",""
"adversarial","dc_block_card","mera wala card band karo jo paise nikalte h","enna card ah block pannu, atm la money edutha","enna card block panre, cash withdraw pannura","paisa withdraw panra card block pannu",""
"adversarial","loan_emi_details","kist kitni h meri","kist ethavachhu meri","meri kist eduthu kitna","meri emi eththana",""
"adversarial","cc_limit_increase","credit card chhota pad rha h","credit card chota paduthu","credit card small ah iruku","credit card limit small ah iruku",""
"adversarial","upi_send","scan karke paisa de do 200","scan panni 200 pesu kodu","scan pannu 200 de do","scan panni 200 pannu",""
"adversarial","acc_mini_statement","paiso ka lena dena dikhao","paisa lena dena dikhungo","enakku paisa transaction details dikhao","paisa transaction details show pannu",""
"adversarial","cc_block_card","card gayab ho gaya mera credit wala","card adichiduchu yaar, en credit card","en credit card kaetu pochu, block panren","credit card loss aachu, block pannu da",""
"adversarial","loan_foreclosure","sab ek saath de deta hu khatam karo","sab ek saath de ditten, khatam pannu","ellam romba dhan de ditten, khatam cheyyi","ellam one time settle pannu da",""
"adversarial","dc_reset_pin","4 digit wala code bhool gya card ka","4 digit code maari card ah paththi forget pannitten","naan card ah 4 digit wala code forget panniten","4 digit pin forget aachu, enna pannanum",""
"adversarial","cc_unblock_card","mera cc kaam nahi kr rha chalu karo","enna cc work ah illa da chaluchu pannu","my cc work ah illa nu chaluchutinga da","cc work ah illa da, activate pannu",""
"adversarial","acc_explore","account ka sab kuch btao","account details full ah paapom","account la full info thaa","account full details sollu da",""
"adversarial","cc_block_card","mera plastic card rok do credit wala","enna plastic card block pannu credit nu","plastic card block pannu credit limit nu","credit card block pannu da",""
"adversarial","loan_outstanding","bank ko kitna dena h abhi","bank ku ethna kattanum pola","bank ku enna dennum pola","bank ku ippo eththana kattanum",""
"adversarial","loan_explore","loan ka scene kya h mera","loan nu scene enna da mera","loan pathi enna nu scene da","loan scene enna da mera",""
