tier,intent,hinglish_original,taen_candidate_1,taen_candidate_2,REVIEWER_FINAL,REVIEWER_NOTE
messy,acc_mini_statement,recent txns dikhao zra,recent txns chupista zra,ipudi transactions chuppali zra,recent transactions konchem chupinchu bro,"""konchem"" is telugu for ""zra"", natural flow"
messy,cc_block_card,cc band krdo yaar kho gya h,cc block cheyyo yaar kadupu poindi,cc block cheyandi yaar adugu poindi,na CC poyindi ra block chey,"""kadupu poindi"" is legendary telugu slang for lost 🔥"
messy,upi_send,upay se bhej do 300 rs,upi dwara 300 rs bhejagu,upay medhowa 300 rs pedhu,UPI lo 300 pampu ra,"""pampu"" is natural telugu for send, ""bhejagu"" is forced"
messy,upi_send,gopi ko upi se 800 bhejo,gopi ki upi lo 800 pesals,gopi ku upi dwara 800 send cheyyi,Gopi ki UPI lo 800 pampu ra,"""send cheyyi"" ok but ""pampu"" is pure telugu flex"
messy,acc_close_account,savings account close krna h,savings account close cheyyali,savings account close chesuko,na savings account close cheyali ra,"c2 ""chesuko"" means do it yourself, wrong context"
messy,dc_block_card,mera debit card chori ho gya band karo,naa debit card cheddaipoyindhi block cheyandi,debit card dorikindhi block cheseyandi,na debit card dobbesindhi ra block chey,"""dobbindhi"" is peak hyderabadi telugu for stolen 🔥🔥"
messy,cc_block_card,mera crd card chori ho gya block karo,naa card chedda chori ayindi block cheyyi,mera card dorikindi block chesko,na card dobbesaru ra block chey,"""dobbesaru"" means someone stole, natural genz"
messy,cc_explore,cc ke baare mein btao sab,cc gurinchi cheppu mama,cc details cheppava le,CC gurinchi full cheppu mawa,"""mawa"" is ultimate hyderabadi genz vibe 🤙"
messy,upi_send,upi se 2000 bhejdo yaar,upi dwara 2000 pampu yaar,upi thro 2000 send cheyyi yaar,UPI lo 2000 pampu ra,"simple and clean, ""pampu"" is the word"
messy,acc_close_account,khata close krdo mera savings wala,khata close cheyandi naa savings wala,savings account close cheyyi mera,na savings account close cheyandi,"""khata"" is hinglish, telugu lo direct ""account"" ee better"
messy,cc_explore,credit card ke options dikhao,credit card options chupista,credit card options chuppali,credit card options em unnayo chupinchu,"c2 is close, add ""em unnayo"" makes it complete question"
adversarial,cc_block_card,card gayab ho gaya mera credit wala,card miss ayindi meru credit wala,mera credit card kadupu poindi,na credit card gayab ayyindhi ra block chey,"""gayab"" is iconic hyderabadi slang, we actually use it"
adversarial,cc_view_statement,is mahine cc pe kitna gaya,ee month cc pe eduru kharchu ayyindhi,ee mahine cc pe kitna deduct ayyindo,ee month CC bill entha vachindo cheppu bro,"""entha vachindo"" is how we ask bill amount"
adversarial,sec_report_fraud,kisi ne mera account hack kr liya,elaa vishayam naa account hack chesaru,evaro naa account hack chesaaru,evaro na account hack chesaru ra,"rendu close, ""evaro"" adds the unknown person feel"
adversarial,pay_transfer,amount move karo dusre account me,amount move cheyyi mestha account lo,amount transfer cheyyi velthe account lo,inko account ki amount transfer chey ra,"""inko account"" is natural, ""velthe"" is wrong"
adversarial,acc_mini_statement,pichle hafte kya kya kata,pichle vaaram emo emo cut chesaru,pichle vaaram kota kota deductions ey,last week em em deduct ayyindo chupinchu,"""last week"" english word common ga use chestham"
adversarial,pay_transfer,kisi ko paise dene h,kisi ki paise icharu,evariki paise icharu,evariki paisal pampalo cheppu ra,"original is garbled but genz asks ""evariki"" (to whom)"
adversarial,dc_reset_pin,atm me pin galat ho gya,atm lo pin wrong ayipoyindhi,atm me pin block ayipoyindha,na ATM PIN marchipoya ra reset cheyali,"""PIN marchipoya"" is direct and clear"
adversarial,acc_mini_statement,hisab dikhao,account balance dikhao,my account statement chupao,na account statement chupinchu ra,"""statement"" is what we actually say for hisab"
adversarial,acc_mini_statement,kya hua mera paisa,eyy mera balance emi cheyado,meeru nenu balance elaa undi,na balance entha undo cheppu ra,"""entha undo"" is proper telugu, rendu are broken"
adversarial,pay_transfer,dusre account me daal do 5000,veeri account lo paesaalu 5000 daaluvu,inna account lo 5000 daaldu,vere account lo 5000 veyyi ra,"""veyyi"" means put/transfer, natural telugu"
adversarial,st_continuation,aur dikhao kya kya kr sakte,intha chupisthara enti cheyochhu,intha dikhavo mari em cheyali,inkem cheyocho chupinchu ra,"simple and direct, genz demands"
adversarial,cc_block_card,credit card safe nahi hai band karo,"credit card safe ledu, block cheyandi","credit card safe kaadu, block chesuko",credit card safe ledu block cheyandi,"credit card safe kaadu block chesuko,na credit card safe ga ledu block chey ra,""safe ga ledu"" is natural way to say not safe"
adversarial,cc_limit_increase,mera cc se bada payment nahi ho rha,naku cc dwara pedda payment raledu,na cc tho pedda payment radu,na CC limit saripovatledu ra penchandi,"""saripovatledu"" means insufficient, perfect for context"
adversarial,dc_reset_pin,4 digit wala code bhool gya card ka,4 digit wala code marchipoyaan card ka,card ki 4 digit code bhulipoyaan,na card PIN marchipoya ra reset cheyali,"genz says ""PIN"" not ""4 digit code"""
adversarial,cc_block_card,cc pe fraud ho rha h band kro,cc pe fraud jargutunnapudu block cheyandi,cc lo fraud jarugutunna block cheyyi,na CC meedha fraud avthundhi ra block chey,"""avthundhi"" means happening, present continuous"
